"Vehicle Weight
(100s/lbs)","Fuel Economy
(mpg)"
22.4,32.7
26.1,27.9
31.2,22.6
32,29.7
34.7,27.4
34.9,25.2
36.5,24.5
37.3,13.5
39.3,23.7
39.6,23.6
43.7,15
